unit,inet_spd,terrtypo,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 
PC_HH,MBPS_GT100,TOTAL,LU	99.4 	99.3 	94.6 	94 	86.6 	89.7 	87.6 	82.5 	79.6 
PC_HH,MBPS_GT100,TOTAL,LV	90.7 	89.6 	89.6 	87.7 	86.9 	86.8 	86.4 	85.5 	84.6 
PC_HH,MBPS_GT100,TOTAL,MT	100 	100 	100 	99.9 	99.9 	99.4 	99.4 	99.4 	100 
PC_HH,MBPS_GT100,TOTAL,NL	98.5 	95.8 	95.8 	93 	92.9 	92 	91.9 	91.9 	88.9 
PC_HH,MBPS_GT100,TOTAL,NO	89.2 	88.5 	85.7 	82 	79.8 	77.6 	73 	28 	23 
PC_HH,MBPS_GT100,TOTAL,PL	69.2 	63.4 	51.3 	40.4 	35.4 	28.7 	22 	13.5 	12.4 
PC_HH,MBPS_GT100,TOTAL,PT	92.8 	89.5 	76.6 	70.2 	63.6 	49.6 	47.2 	45.3 	42.1 
PC_HH,MBPS_GT100,TOTAL,RO	88.6 	82.8 	77.7 	73.8 	64.9 	63.4 	61.8 	60.2 	18.4 
PC_HH,MBPS_GT100,TOTAL,SE	86.7 	85.1 	82.2 	78.4 	73.3 	68.6 	57.5 	57.5 	59.1 
PC_HH,MBPS_GT100,TOTAL,SI	85.5 	82.1 	80.9 	79.4 	74.3 	72.2 	68.7 	67.3 	64.7 
PC_HH,MBPS_GT100,TOTAL,SK	75.4 	61.9 	57.3 	54.7 	53.1 	49 	45 	35.9 	32.4 
PC_HH,MBPS_GT100,TOTAL,UK	63.2 	59 	57 	48 	47 	46 	47.9 	47.7 	47.7 
PC_HH,MBPS_GT2,TOTAL,AT	: 	98.6 	98.2 	98.1 	97.9 	98.1 	98 	98.4 	98.6 
PC_HH,MBPS_GT2,TOTAL,BE	: 	99.9 	99.9 	99.9 	99.9 	99.8 	99.8 	99.8 	99.9 
